,Name,# Stocks,Created,Updated
210,Jeff_Top20_Longs_10_1_12_Mo4BigUp_OthCrit02,23,01/18/13,01/18/13
211,Jeff_Top20_Longs_10_1_12_Mo4BigUp_OthCrit01,21,01/18/13,01/18/13
212,Jeff_Top20_Longs_10_1_12_Mo8BigUp_OthCrit01,22,01/18/13,01/18/13
213,Jeff_Top20_Longs_10_1_12_Mo6BigUp,24,01/18/13,01/18/13
214,Jeff_Top20_Longs_10_1_12_Mo8BigUp,22,01/18/13,01/18/13
215,Jeff_Top20_Longs_10_1_12_Mo4BigUp,21,01/15/13,01/18/13
216,Jeff_Top31_Longs_1_8_13_real,30,01/08/13,01/08/13
217,Jeff_Top27_Longs_1to14mos_10_30_12_SLE1,31,12/25/12,12/25/12
218,Jeff_Top10_Longs_5mos_10_30_12_SLE1,12,12/24/12,12/24/12
219,Jeff_Top10_Longs_6mos_10_30_12_SLE1,12,12/24/12,12/24/12
220,Jeff_Top10_Longs_6mos_11_30_12_Copy1,12,12/23/12,12/23/12
221,Jeff_Top10_Longs_6mos_11_30_12,11,12/23/12,12/23/12
222,Jeff_Top30_Longs_2mos_9_30_12_Prt9,36,12/13/12,12/13/12
223,Jeff_Top30_Longs_1mo_9_30_12_Prt9,31,12/12/12,12/12/12
224,Jeff_Top30_Longs_2mos_9_30_12,34,12/07/12,12/07/12
225,Jeff_Top30_Longs_2mos_8_31_12,32,12/07/12,12/07/12
226,Jeff_Top30_Longs_2mos_7_31_12,32,12/07/12,12/07/12
227,Jeff_Top05_Longs_2mos_6_30_12,6,12/07/12,12/07/12
228,Jeff_Top30_Longs_9_30_12,35,12/07/12,12/07/12
229,Jeff_Top05_Longs_6_30_12,5,12/07/12,12/07/12
230,Jeff_Top30_Longs_2mos_6_30_12,34,12/07/12,12/07/12
231,Jeff_Top30_Longs_6_30_12,33,12/06/12,12/06/12
232,Jeff_Top30_Longs_8_31_12,32,12/06/12,12/06/12
233,Jeff_Top30_Shorts_7_31_12,26,12/06/12,12/06/12
234,Jeff_Top30_Longs_7_31_12,34,12/06/12,12/06/12
235,TMS,2,10/15/12,10/15/12
236,CommodETFs,19,09/29/12,09/29/12
